5L,5C,5Pm,5Pm;0,3,3,3;2.1,2.2,2.4,4.4;0
5L,5I,5P,5Pm;1,2,0,3;3.1,2.1,3.5,4.2;0
5L,5P,5P,5Pm;0,2,1,2;2.1,2.2,4.3,2.4;0
5L,5P,5Pm,5Pm;0,3,0,3;2.1,2.3,2.2,4.4;0
5V,5V,5Zm,5Zm;1,3,1,1;2.1,3.5,2.4,3.2;1
5V,5V,5Zm,5I;0,2,2,2;3.1,3.3,3.2,2.1;0
5V,5V,5Z,5Z;2,0,1,1;2.3,3.1,2.1,3.3;1
5V,5V,5Z,5I;1,3,2,2;3.1,3.5,3.4,2.1;0
5V,5Zm,5C,5P;3,1,0,0;3.5,2.4,2.1,3.2;0
5V,5Zm,5P,5Pm;3,1,3,0;3.5,2.4,2.1,3.1;0
5V,5Z,5C,5Pm;0,1,0,0;3.1,2.1,2.3,3.4;0
5V,5Z,5P,5Pm;2,1,2,3;2.3,3.3,2.1,4.2;0
5V,5C,5I,5P;2,3,2,3;2.3,2.1,5.1,3.2;0
5V,5C,5I,5Pm;3,3,2,3;2.5,2.1,5.1,2.3;0
5V,5I,5P,5Pm;2,2,2,3;3.3,2.1,3.1,4.3;0
5Zm,5I,5P,5P;1,2,2,0;3.3,2.1,3.1,3.5;0
5Z,5I,5Pm,5Pm;1,2,0,2;3.2,2.1,3.1,3.4;0
5C,5C,5P,5P;0,2,2,0;2.1,4.3,2.4,3.2;1
5C,5C,5Pm,5Pm;0,2,2,0;2.3,4.1,2.1,3.4;1
5C,5P,5P,5Pm;0,0,1,2;2.1,3.2,4.3,2.4;0
5C,5P,5Pm,5Pm;0,2,0,3;2.3,2.1,3.4,4.2;0
5I,5I,5I,5I;2,2,2,2;2.1,3.1,4.1,5.1;1
5I,5I,5P,5P;2,2,1,3;2.1,3.1,4.1,4.3;0
5I,5I,5Pm,5Pm;2,2,1,3;2.1,3.1,4.1,4.4;0
5P,5P,5P,5P;1,3,1,3;2.1,2.3,4.1,4.3;1
5P,5P,5Pm,5Pm;2,0,1,3;2.1,3.5,2.3,4.2;1
5Pm,5Pm,5Pm,5Pm;1,3,1,3;2.1,2.4,4.1,4.4;1
